iter	Passed	Remaining
0	0	48
1	0	45
2	1	42
3	1	39
4	2	38
5	2	38
6	2	38
7	3	40
8	3	39
9	4	38
10	4	37
11	5	37
12	5	36
13	5	35
14	6	34
15	6	33
16	6	33
17	7	32
18	7	31
19	7	31
20	8	30
21	8	30
22	8	29
23	9	29
24	9	28
25	9	28
26	10	28
27	10	28
28	11	27
29	11	27
30	12	26
31	12	26
32	12	25
33	13	25
34	13	25
35	13	24
36	14	24
37	14	23
38	15	23
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	17	21
46	18	20
47	18	20
48	18	19
49	19	19
50	19	19
51	20	18
52	20	18
53	20	17
54	21	17
55	21	17
56	22	16
57	22	16
58	22	15
59	23	15
60	23	15
61	24	14
62	24	14
63	24	14
64	25	13
65	25	13
66	26	12
67	26	12
68	26	12
69	27	11
70	27	11
71	28	10
72	28	10
73	28	10
74	29	9
75	29	9
76	29	8
77	30	8
78	30	8
79	30	7
80	31	7
81	31	6
82	32	6
83	32	6
84	32	5
85	33	5
86	33	5
87	34	4
88	34	4
89	34	3
90	35	3
91	35	3
92	35	2
93	36	2
94	36	1
95	36	1
96	37	1
97	37	0
98	38	0
99	38	0
