iter	Passed	Remaining
0	55	55836
1	56	28433
2	58	19363
3	59	14714
4	60	11988
5	61	10134
6	61	8778
7	62	7746
8	63	6940
9	63	6309
10	64	5813
11	65	5381
12	66	5031
13	66	4715
14	67	4449
15	69	4293
16	70	4085
17	71	3913
18	72	3737
19	73	3586
20	73	3443
21	74	3318
22	75	3200
23	76	3096
24	76	3000
25	77	2904
26	78	2817
27	78	2736
28	79	2663
29	80	2601
30	81	2536
31	81	2477
32	83	2455
33	84	2408
34	85	2365
35	86	2320
36	87	2280
37	88	2235
38	89	2195
39	89	2155
40	90	2117
41	91	2086
42	92	2055
43	93	2027
44	94	2000
45	95	1974
46	96	1947
47	96	1922
48	97	1897
49	100	1901
50	101	1889
51	102	1868
52	103	1846
53	104	1825
54	104	1802
55	105	1779
56	106	1757
57	106	1736
58	107	1715
59	108	1697
60	109	1678
61	109	1662
62	110	1644
63	111	1627
64	112	1611
65	114	1619
66	115	1607
67	116	1595
68	117	1582
69	117	1567
70	118	1552
71	119	1538
72	120	1526
73	121	1517
74	121	1503
75	122	1490
76	123	1478
77	123	1465
78	124	1453
79	125	1442
80	126	1430
81	126	1418
82	126	1402
83	129	1407
84	130	1403
85	131	1395
86	131	1384
87	132	1374
88	133	1365
89	134	1357
90	134	1347
91	135	1339
92	150	1464
93	150	1454
94	151	1446
95	152	1436
96	153	1427
97	153	1416
98	154	1405
99	154	1394
100	155	1385
101	156	1375
102	157	1369
103	157	1360
104	162	1382
105	162	1373
106	163	1366
107	164	1358
108	165	1350
109	166	1343
110	166	1335
111	167	1328
112	168	1320
113	168	1313
114	169	1305
115	170	1298
116	170	1289
117	171	1284
118	172	1277
119	173	1270
120	177	1288
121	177	1280
122	178	1272
123	179	1264
124	179	1257
125	180	1249
126	180	1240
127	181	1233
128	181	1226
129	182	1218
130	182	1212
131	183	1207
132	184	1201
133	185	1198
134	189	1217
135	190	1212
136	193	1218
137	195	1219
138	196	1215
139	197	1210
140	198	1206
141	198	1199
142	199	1194
143	200	1188
144	200	1183
145	201	1178
146	202	1172
147	203	1170
148	204	1169
149	205	1163
150	206	1158
151	206	1153
152	207	1148
153	208	1142
154	208	1137
155	209	1133
156	210	1128
157	210	1123
158	211	1118
159	211	1112
160	212	1106
161	212	1101
162	213	1096
163	214	1092
164	215	1088
165	215	1084
166	216	1080
167	218	1084
168	220	1082
169	220	1078
170	221	1074
171	222	1070
172	223	1066
173	223	1062
174	224	1058
175	225	1054
176	225	1050
177	226	1047
178	227	1043
179	228	1040
180	229	1038
181	230	1036
182	231	1034
183	234	1039
184	235	1036
185	235	1032
186	236	1029
187	237	1027
188	239	1028
189	240	1025
190	241	1021
191	241	1017
192	242	1013
193	243	1009
194	243	1006
195	244	1002
196	245	998
197	245	995
198	246	991
199	248	994
200	249	992
201	250	990
202	251	987
203	252	984
204	253	981
205	253	978
206	254	974
207	255	971
208	255	967
209	256	964
210	257	961
211	257	957
212	258	954
213	259	951
214	259	948
215	260	945
216	264	955
217	265	952
218	266	949
219	266	946
220	267	943
221	268	939
222	268	936
223	269	933
224	269	929
225	270	926
226	271	923
227	271	920
228	272	918
229	273	916
230	274	914
231	275	912
232	276	911
233	279	914
234	280	912
235	281	910
236	281	907
237	282	904
238	283	901
239	283	898
240	284	895
241	284	892
242	285	889
243	286	886
244	286	883
245	287	880
246	287	877
247	288	874
248	289	871
249	289	868
250	290	865
251	290	862
252	293	865
253	294	863
254	294	860
255	295	858
256	296	856
257	296	853
258	297	850
259	297	847
260	298	845
261	299	842
262	299	840
263	300	837
264	301	835
265	302	833
266	302	831
267	303	829
268	304	826
269	304	824
270	305	822
271	307	822
272	308	822
273	309	820
274	310	817
275	310	815
276	311	813
277	312	810
278	312	808
279	313	805
280	313	803
281	314	800
282	321	813
283	323	816
284	324	814
285	325	812
286	326	810
287	326	807
288	327	805
289	328	803
290	328	801
291	329	799
292	330	797
293	332	798
294	333	797
295	334	795
296	335	793
297	336	792
298	337	790
299	337	787
300	338	785
301	338	783
302	339	780
303	339	778
304	340	775
305	340	773
306	341	770
307	342	768
308	342	766
309	343	764
310	344	762
311	344	760
312	345	758
313	349	762
314	349	760
315	350	758
316	351	756
317	351	754
318	352	752
319	353	751
320	354	748
321	354	746
322	355	745
323	356	742
324	356	740
325	357	738
326	357	736
327	358	734
328	358	732
329	359	730
330	360	728
331	360	726
332	361	724
333	362	722
334	362	719
335	363	717
336	363	715
337	365	715
338	366	714
339	367	713
340	368	711
341	368	709
342	369	707
343	369	705
344	370	703
345	371	701
346	371	699
347	372	697
348	372	695
349	373	693
350	374	691
351	374	690
352	375	688
353	376	686
354	376	684
355	377	682
356	377	680
357	378	678
358	380	679
359	381	678
360	382	676
361	382	674
362	383	673
363	384	671
364	384	669
365	385	667
366	386	666
367	386	664
368	388	664
369	389	663
370	390	662
371	391	660
372	391	658
373	392	657
374	393	655
375	399	662
376	400	661
377	401	660
378	402	658
379	402	657
380	403	655
381	404	653
382	404	652
383	405	650
384	406	649
385	407	647
386	407	645
387	410	647
388	411	645
